tracker_entity,tracker_category,consent_mode,sites_present,total_requests,avg_response_bytes,avg_timing_ms
Google,analytics,accept,69,1067,49756.0,752.0
Google,analytics,ignore,68,839,55557.0,1019.6
Google,analytics,reject,67,848,55571.0,961.1
Google,advertising,accept,52,456,37656.0,800.2
Google,advertising,ignore,44,346,50766.0,1083.0
Google,advertising,reject,43,396,41361.0,974.5
Seznam.cz,analytics,accept,42,1214,4267.0,537.2
Google,cdn,accept,39,624,48014.0,822.4
Google,cdn,ignore,38,574,42103.0,835.0
Google,cdn,reject,37,657,49079.0,780.3
Seznam.cz,analytics,ignore,34,1222,4264.0,567.7
Seznam.cz,analytics,reject,33,842,5182.0,671.1
Gemius,analytics,accept,32,155,7059.0,832.6
Gemius,analytics,ignore,32,148,7727.0,792.1
Gemius,analytics,reject,31,138,7554.0,977.4
Meta,advertising,accept,29,83,61728.0,928.9
Adform,advertising,accept,25,254,13988.0,649.6
Adform,advertising,ignore,18,186,27664.0,699.9
Criteo,advertising,accept,18,106,27.0,607.2
Adform,advertising,reject,16,192,20334.0,753.6
Meta,advertising,ignore,16,41,62092.0,1175.1
Microsoft,analytics,accept,15,148,609.0,746.7
Meta,advertising,reject,15,40,61388.0,1416.8
Seznam.cz,advertising,ignore,14,113,1861.0,564.3
Criteo,advertising,ignore,13,86,43.0,525.5
Criteo,advertising,reject,13,85,43.0,556.6
R2B2,advertising,reject,13,48,228877.0,2996.1
R2B2,advertising,accept,13,41,214928.0,3651.4
R2B2,advertising,ignore,13,35,201286.0,7604.8
Seznam.cz,advertising,accept,12,85,2190.0,1220.0
Microsoft,analytics,reject,10,106,597.0,698.4
Microsoft,analytics,ignore,10,94,608.0,685.5
Seznam.cz,advertising,reject,10,51,2253.0,322.1
Cloudflare,analytics,accept,9,17,,1065.6
Cloudflare,analytics,reject,9,17,,590.1
Cloudflare,analytics,ignore,9,16,,949.6
Xandr,advertising,accept,8,86,369.0,439.0
Cloudflare,cdn,reject,7,72,606.0,235.6
Cloudflare,cdn,accept,7,71,601.0,323.5
Cloudflare,cdn,ignore,7,68,633.0,350.8
TikTok,social,accept,6,134,7504.0,318.7
Xandr,advertising,ignore,6,82,524.0,516.3
Twitter/X,social,accept,6,15,9557.0,681.3
Xandr,advertising,reject,5,94,774.0,207.7
Microsoft,advertising,accept,5,27,15312.0,259.0
Hotjar,analytics,accept,5,6,,632.3
Amazon,cdn,reject,4,558,45288.0,6241.5
Amazon,cdn,accept,4,541,47501.0,5410.8
Amazon,cdn,ignore,4,505,37019.0,3063.4
LinkedIn,cdn,accept,4,31,41385.0,742.4
Google,social,accept,3,139,107893.0,1272.0
Google,social,reject,3,120,114014.0,1551.6
Google,social,ignore,3,109,106560.0,968.1
LinkedIn,social,accept,3,35,665.0,383.4
Meta,social,accept,3,29,29201.0,760.2
Meta,social,reject,3,29,29201.0,1255.2
Meta,social,ignore,3,25,29201.0,1054.7
Adobe,cdn,accept,3,17,46077.0,3663.8
Adobe,cdn,ignore,3,17,46077.0,2832.1
Adobe,cdn,reject,3,17,46077.0,1207.3
Twitter/X,social,ignore,3,7,22242.0,285.4
Twitter/X,social,reject,3,7,22242.0,561.6
TikTok,social,reject,2,38,8733.0,229.8
TikTok,social,ignore,2,37,8556.0,433.5
LinkedIn,cdn,reject,2,28,75140.0,478.3
LinkedIn,cdn,ignore,2,26,75140.0,1262.3
New Relic,analytics,reject,2,10,6008.0,736.1
Microsoft,advertising,ignore,2,8,15312.0,243.4
Microsoft,advertising,reject,2,8,15312.0,371.8
Hotjar,analytics,ignore,2,2,,191.8
Hotjar,analytics,reject,2,2,,166.4
Twitter/X,cdn,ignore,1,60,41041.0,2619.7
Twitter/X,cdn,reject,1,60,41041.0,2506.1
LinkedIn,social,reject,1,59,315.0,193.4
Meta,cdn,accept,1,59,20322.0,1288.0
Meta,cdn,ignore,1,59,20322.0,954.0
Meta,cdn,reject,1,59,20322.0,1297.8
Twitter/X,cdn,accept,1,58,41041.0,2798.4
LinkedIn,social,ignore,1,20,1050.0,168.2
Heureka Group,analytics,accept,1,16,,267.0
Heureka Group,analytics,ignore,1,10,,447.1
Heureka Group,analytics,reject,1,10,,108.7
New Relic,analytics,accept,1,7,10726.0,1128.7
The Trade Desk,advertising,accept,1,5,231.0,1125.2
New Relic,analytics,ignore,1,3,6008.0,315.5
Sentry,analytics,accept,1,2,22.0,439.7
Quantcast,advertising,ignore,1,1,,1638.5
Sentry,analytics,ignore,1,1,2.0,164.7
Sentry,analytics,reject,1,1,2.0,554.7
