category,consent_mode,sites,avg_requests,avg_3p_requests,avg_cookies,avg_tracking_cookies,sites_with_banner,avg_load_time_ms
ecommerce,accept,15,141.2,66.6,9.5,2.9,11,7748.0
ecommerce,ignore,15,125.1,54.0,6.3,1.0,0,6540.0
ecommerce,reject,15,142.0,67.7,6.5,1.0,8,6898.0
education,accept,7,89.1,40.0,4.7,2.3,5,5628.0
education,ignore,7,77.2,38.0,3.5,1.5,0,5711.0
education,reject,7,77.3,38.1,3.7,1.5,1,8548.0
entertainment,accept,7,189.5,158.8,13.3,6.5,0,6695.0
entertainment,ignore,7,199.8,168.5,13.3,6.4,0,5941.0
entertainment,reject,7,195.3,164.2,12.8,6.1,0,6713.0
finance,accept,10,131.6,74.8,22.0,8.0,12,10089.0
finance,ignore,10,103.2,52.6,11.6,1.4,0,9195.0
finance,reject,10,106.6,51.1,12.6,1.4,11,8449.0
government,accept,9,80.0,67.1,4.2,1.4,10,8196.0
government,ignore,9,70.4,58.2,2.5,0.7,0,7217.0
government,reject,9,79.2,69.3,3.6,1.1,10,3733.0
health,accept,5,89.8,70.8,10.8,5.6,2,6044.0
health,ignore,5,68.6,53.0,4.4,1.4,0,8925.0
health,reject,5,69.6,53.0,4.4,1.4,0,6453.0
news,accept,13,160.3,124.4,11.1,3.7,2,13451.0
news,ignore,13,153.9,119.2,10.3,3.4,0,13461.0
news,reject,13,165.7,130.8,10.7,3.6,0,13266.0
other,accept,13,113.2,81.8,11.3,3.4,2,6158.0
other,ignore,13,106.8,77.0,9.4,2.5,0,6241.0
other,reject,13,107.0,77.1,9.7,2.6,1,4530.0
search,accept,3,257.7,194.2,12.8,10.0,3,5397.0
search,ignore,3,213.9,160.1,11.1,8.7,0,6882.0
search,reject,3,172.5,124.5,11.0,8.3,2,9051.0
social,accept,6,75.3,56.3,6.3,4.0,3,8465.0
social,ignore,6,64.3,52.0,4.3,2.7,0,9024.0
social,reject,6,73.5,53.5,5.0,3.3,3,7500.0
tech,accept,4,112.1,94.6,14.3,7.9,0,10137.0
tech,ignore,4,108.5,91.0,12.9,7.4,0,14064.0
tech,reject,4,113.8,96.3,14.5,8.0,0,9735.0
telecom,accept,3,111.3,31.7,20.0,4.0,1,34122.0
telecom,ignore,3,89.3,8.7,16.0,0.7,0,29871.0
telecom,reject,3,144.0,15.7,17.3,0.7,1,26736.0
